Puesto_de_Trabajo,Salario_Promedio_USD,Años_de_Experiencia,Nivel_Educativo,Indice_Exposicion_IA,Factor_Crecimiento_Tecnologico,Probabilidad_Automatizacion_2030,Categoria_Riesgo,Habilidad_1,Habilidad_2,Habilidad_3,Habilidad_4,Habilidad_5,Habilidad_6,Habilidad_7,Habilidad_8,Habilidad_9,Habilidad_10
Ingeniero de Software,82445,25,Licenciatura,0.19,0.57,0.56,Medio,0.85,0.95,0.77,0.2,0.98,0.92,0.16,0.56,0.56,0.44
Investigador UX,86152,11,Maestría,0.21,1.17,0.61,Medio,0.2,0.82,0.96,0.62,0.78,0.53,0.6,0.01,0.52,0.58
Conductor de Camión,45485,4,Doctorado,0.17,0.74,0.89,Alto,0.17,0.42,0.25,0.55,0.99,0.85,0.27,0.37,0.92,0.9
Guardia de Seguridad,53953,29,Maestría,0.83,0.8,0.84,Alto,0.01,1.0,0.76,0.24,0.68,0.29,0.09,0.43,0.61,0.09
Chef,48027,3,Licenciatura,0.51,1.13,0.4,Medio,0.02,0.32,0.4,0.64,0.93,0.2,0.69,0.1,0.19,0.51
Médico,45265,15,Doctorado,0.86,1.24,0.05,Bajo,0.68,0.82,0.53,0.97,0.0,0.82,0.33,0.65,0.69,0.31
Guardia de Seguridad,39160,26,Doctorado,0.1,0.66,0.92,Alto,0.12,0.38,0.73,0.79,0.95,0.79,0.84,0.95,0.55,0.34
Guardia de Seguridad,100717,16,Bachillerato,0.16,0.57,0.9,Alto,0.95,0.44,0.16,0.5,0.39,0.37,0.63,0.17,0.38,0.87
Especialista en RRHH,117275,27,Bachillerato,0.06,1.01,0.34,Medio,0.96,0.24,0.93,0.83,0.55,0.34,0.86,0.15,0.18,0.22
Guardia de Seguridad,73496,25,Doctorado,0.31,1.49,0.75,Alto,0.81,0.1,0.35,0.24,0.98,0.03,0.72,0.25,0.81,0.31
Abogado,95635,1,Doctorado,0.27,0.91,0.59,Medio,0.1,0.76,0.11,0.91,0.28,0.58,0.12,0.27,0.4,0.49
Ingeniero de Software,57762,7,Licenciatura,0.89,0.51,0.61,Medio,0.47,0.52,0.21,0.61,0.54,0.16,0.24,0.07,0.07,0.01
Maestro,95888,15,Bachillerato,0.68,0.82,0.14,Bajo,0.13,0.58,0.34,0.68,0.74,0.58,0.28,0.51,0.25,0.9
Trabajador de Comercio,84150,23,Licenciatura,0.97,1.05,0.78,Alto,0.1,0.54,0.86,0.87,0.6,0.39,0.65,0.76,0.41,0.48
Mecánico,87026,4,Maestría,0.88,1.29,0.31,Medio,0.12,0.85,0.83,0.39,0.58,0.91,0.91,0.78,0.21,0.73
Maestro,133992,1,Bachillerato,0.89,0.65,0.22,Bajo,0.61,0.78,0.55,0.06,0.71,0.38,0.32,0.99,0.59,0.71
Ingeniero de Software,115847,18,Licenciatura,0.77,1.25,0.56,Medio,1.0,0.46,0.71,0.8,0.38,0.46,0.97,0.03,0.34,0.49
Científico de Datos,30645,4,Bachillerato,0.9,0.79,0.4,Medio,0.82,0.28,0.66,0.82,0.79,0.78,0.09,0.08,0.31,0.04
Maestro,40704,23,Doctorado,0.39,1.06,0.12,Bajo,0.49,0.33,0.2,0.65,0.67,0.83,0.87,0.7,0.69,0.06
Abogado,62256,7,Licenciatura,0.81,0.73,0.44,Medio,0.15,0.2,0.78,0.26,0.45,0.15,0.68,0.73,0.36,0.78
Ingeniero de Software,64224,11,Bachillerato,0.69,1.23,0.69,Medio,0.23,0.09,0.26,0.12,0.17,0.33,0.41,0.9,0.2,0.97
Chef,43167,11,Maestría,0.88,1.43,0.6,Medio,0.79,0.44,0.51,0.93,0.38,0.04,0.76,0.57,0.81,0.08
Chef,99459,6,Bachillerato,0.25,1.4,0.34,Medio,0.84,0.09,0.03,0.24,0.33,0.63,0.13,0.44,0.2,0.86
Trabajador de Comercio,90628,24,Maestría,0.36,1.13,0.93,Alto,0.87,0.9,0.06,0.84,0.78,0.9,0.31,0.91,0.4,0.63
Investigador UX,95162,25,Doctorado,0.43,1.05,0.44,Medio,0.79,0.63,0.69,0.23,0.97,0.66,0.2,0.75,0.17,0.06
Enfermero/a,144009,2,Maestría,0.55,0.69,0.14,Bajo,0.95,0.29,0.16,0.99,0.3,0.68,0.23,0.55,0.39,0.96
Enfermero/a,53978,11,Doctorado,0.58,1.44,0.3,Bajo,0.1,0.83,0.38,0.59,0.38,0.4,0.16,0.57,0.55,0.19
Especialista en RRHH,85419,21,Bachillerato,0.97,1.21,0.49,Medio,0.92,0.58,0.14,0.55,0.18,0.77,0.97,0.36,0.43,0.42
Científico de Datos,123004,16,Licenciatura,0.79,1.12,0.33,Medio,0.84,0.19,0.98,0.38,0.62,0.08,0.34,0.8,0.48,0.9
Ingeniero de Software,47874,25,Licenciatura,0.93,1.48,0.48,Medio,0.57,0.83,0.22,0.86,0.59,0.73,0.08,0.77,0.31,0.81
Ingeniero de Software,149318,17,Bachillerato,0.27,1.45,0.61,Medio,0.99,0.36,0.65,0.61,0.69,0.04,0.29,0.91,0.42,0.96
Mecánico,39413,1,Maestría,1.0,1.2,0.61,Medio,0.4,0.91,0.55,0.68,0.09,0.63,0.88,0.18,0.74,0.03
Científico Investigador,137541,1,Maestría,0.98,0.85,0.08,Bajo,0.66,0.03,0.48,0.27,0.47,0.02,0.05,0.02,0.62,0.56
Científico de Datos,45890,19,Doctorado,0.59,0.6,0.43,Medio,0.6,0.01,0.04,0.68,0.89,0.86,0.17,0.91,0.7,0.72
Gerente de Marketing,137747,8,Bachillerato,0.72,1.21,0.54,Medio,0.36,0.81,0.94,0.87,0.24,0.45,0.34,0.71,0.83,0.22
Científico Investigador,72582,22,Maestría,0.68,0.72,0.14,Bajo,0.1,0.6,0.17,0.69,0.74,0.48,0.09,0.61,0.37,0.95
Diseñador Gráfico,124964,2,Doctorado,0.07,1.14,0.61,Medio,0.16,0.45,0.74,0.02,0.03,0.68,0.73,0.85,0.4,0.39
Médico,64091,8,Maestría,0.26,0.84,0.09,Bajo,0.4,0.9,0.22,0.68,0.14,0.35,0.32,0.94,0.43,0.69
Conductor de Camión,95707,29,Licenciatura,0.14,1.44,0.79,Alto,0.04,0.3,0.34,0.09,0.62,0.35,0.63,0.01,0.98,0.17
Médico,82892,1,Maestría,0.92,1.31,0.22,Bajo,0.03,0.53,0.65,0.76,0.47,0.95,0.24,0.07,0.33,0.66
Científico de Datos,51946,13,Bachillerato,0.74,0.61,0.65,Medio,0.28,0.21,0.61,0.21,0.51,0.41,0.23,0.29,0.43,0.35
Soporte al Cliente,92294,11,Maestría,0.74,0.67,0.86,Alto,0.68,0.8,0.85,0.16,0.14,0.61,0.76,0.27,0.53,0.77
Maestro,101022,17,Doctorado,0.65,0.58,0.06,Bajo,0.39,0.03,0.9,0.02,0.03,0.17,0.63,0.54,0.66,0.89
Chef,116377,14,Doctorado,0.04,1.26,0.62,Medio,0.05,0.24,0.77,0.38,0.47,0.82,0.09,0.68,0.21,0.06
Mecánico,125614,8,Bachillerato,0.12,1.25,0.38,Medio,0.05,0.1,0.84,0.37,0.3,0.49,0.63,0.04,0.9,0.96
Investigador UX,70577,22,Maestría,0.41,1.38,0.47,Medio,0.86,0.03,0.49,0.95,0.25,0.27,0.63,0.93,0.2,0.92
Abogado,70214,21,Maestría,0.99,1.24,0.57,Medio,0.81,0.18,0.95,0.17,0.03,0.7,0.18,0.76,0.8,0.24
Gerente de Marketing,115416,29,Licenciatura,0.5,1.39,0.64,Medio,0.12,0.96,0.26,0.35,0.15,0.38,0.64,0.51,0.83,0.64
Especialista en RRHH,138176,7,Maestría,0.56,0.56,0.53,Medio,0.39,0.1,0.31,0.9,0.59,0.9,0.41,0.98,0.36,0.76
Conductor de Camión,88744,15,Bachillerato,0.11,1.33,0.89,Alto,0.82,0.3,0.7,0.22,0.01,0.87,0.52,0.98,0.39,0.96
Chef,55759,24,Maestría,0.51,0.8,0.63,Medio,0.83,0.42,0.73,0.45,0.74,0.99,0.26,0.63,0.38,0.55
Guardia de Seguridad,37589,18,Licenciatura,0.5,0.95,0.9,Alto,0.05,0.09,0.02,0.69,0.53,0.88,0.5,0.22,0.81,0.29
Conductor de Camión,119485,21,Bachillerato,0.25,0.67,0.82,Alto,0.05,0.04,0.5,0.22,0.01,0.3,0.48,0.39,0.14,0.58
Guardia de Seguridad,55090,8,Licenciatura,0.68,0.89,0.73,Alto,0.5,0.89,0.47,0.2,0.09,0.94,0.74,0.31,0.3,0.9
Chef,102889,19,Bachillerato,0.54,1.21,0.46,Medio,0.04,0.23,0.9,0.52,0.82,0.56,0.94,0.91,0.48,0.32
Chef,93282,29,Maestría,0.67,1.0,0.63,Medio,0.18,0.33,0.69,0.25,0.44,0.96,0.63,0.95,0.72,0.72
Maestro,40892,19,Doctorado,0.5,0.83,0.14,Bajo,0.26,0.06,0.79,0.62,0.83,0.5,0.98,0.96,0.27,0.39
Científico de Datos,132524,8,Bachillerato,0.78,1.41,0.56,Medio,0.48,0.38,0.42,0.85,0.98,0.05,0.58,0.52,0.38,0.85
Maestro,56006,13,Maestría,0.47,0.52,0.25,Bajo,0.11,0.46,0.58,0.71,0.41,0.74,0.13,0.65,0.83,0.89
Conductor de Camión,60805,20,Licenciatura,0.31,0.66,0.79,Alto,0.54,0.2,0.95,0.9,0.03,0.56,0.79,0.25,0.52,0.41
Abogado,86121,28,Maestría,0.61,1.49,0.45,Medio,0.55,0.33,0.88,0.86,0.18,0.9,0.15,0.1,0.65,0.39
Científico de Datos,70344,14,Bachillerato,0.65,0.55,0.42,Medio,0.46,0.27,0.05,0.09,0.8,0.91,0.15,0.25,0.65,0.95
Conductor de Camión,62185,5,Bachillerato,0.87,0.59,0.76,Alto,0.09,0.1,0.52,0.69,0.79,0.7,0.36,0.56,0.93,0.39
Especialista en RRHH,133060,9,Bachillerato,0.52,0.8,0.4,Medio,0.78,0.89,0.5,0.78,0.19,0.55,0.64,0.49,0.12,0.73
Médico,149756,8,Bachillerato,0.64,0.67,0.07,Bajo,0.3,0.04,0.84,0.7,0.56,0.89,0.11,0.71,0.15,0.06
Trabajador de Comercio,31981,7,Maestría,0.95,0.94,0.71,Alto,0.58,0.2,0.01,0.76,0.15,0.94,0.59,0.09,0.22,0.61
Investigador UX,66443,3,Bachillerato,0.53,1.3,0.62,Medio,0.7,0.89,0.2,0.18,0.8,0.32,0.51,0.74,0.4,0.13
Obrero de Construcción,89434,5,Doctorado,0.82,0.51,0.84,Alto,0.47,0.26,0.16,0.19,0.72,0.54,0.98,0.24,0.96,0.52
Enfermero/a,73159,20,Licenciatura,0.02,0.56,0.08,Bajo,0.34,0.12,0.43,0.18,0.78,0.87,0.39,0.51,0.95,0.54
Científico de Datos,103298,14,Maestría,0.14,1.36,0.5,Medio,0.02,0.97,0.97,0.38,0.95,0.14,0.68,0.19,0.25,0.78
Maestro,65357,3,Licenciatura,0.01,0.91,0.11,Bajo,0.68,0.19,0.84,0.27,0.39,0.3,0.64,0.1,0.48,0.33
Maestro,86735,6,Bachillerato,0.07,1.33,0.09,Bajo,0.09,0.2,0.1,0.52,0.99,0.03,0.46,0.39,0.34,0.33
Abogado,131977,0,Maestría,0.02,1.27,0.4,Medio,0.38,0.42,0.3,0.09,0.11,0.3,0.82,0.13,0.74,0.29
Enfermero/a,79684,7,Maestría,0.43,0.67,0.3,Bajo,0.18,0.57,0.57,0.37,0.95,0.84,0.83,0.97,0.46,0.1
Científico Investigador,90273,25,Licenciatura,0.38,0.69,0.17,Bajo,0.93,0.17,0.85,0.42,0.14,0.85,0.97,0.29,0.3,0.39
Soporte al Cliente,85547,1,Doctorado,0.01,0.72,0.88,Alto,0.41,0.33,0.87,0.92,0.95,0.27,0.91,0.74,0.15,0.61
Abogado,117429,26,Doctorado,0.63,0.72,0.4,Medio,0.79,0.69,0.88,0.4,0.55,0.74,0.97,0.99,1.0,0.89
Científico Investigador,40208,23,Licenciatura,0.01,1.2,0.11,Bajo,0.06,0.7,0.76,0.66,0.37,0.51,0.93,0.73,0.5,0.59
Obrero de Construcción,74056,23,Licenciatura,0.39,0.6,0.78,Alto,0.42,0.27,0.53,0.3,0.1,0.19,0.92,0.63,0.31,0.37
Ingeniero de IA,53553,8,Licenciatura,0.67,1.08,0.28,Bajo,0.63,0.91,0.01,0.89,0.72,0.17,0.26,0.54,0.12,0.79
Trabajador de Comercio,54287,4,Bachillerato,0.3,0.57,0.95,Alto,0.25,0.07,0.33,0.97,0.79,0.48,0.31,0.42,0.02,0.72
Especialista en RRHH,48803,27,Doctorado,0.52,1.07,0.3,Bajo,0.98,0.3,0.08,0.85,0.15,0.02,0.49,0.13,0.98,0.01
Maestro,113192,28,Bachillerato,0.83,0.74,0.28,Bajo,0.31,0.07,0.01,0.28,0.47,0.0,0.58,0.33,0.39,0.26
Maestro,128740,9,Licenciatura,0.23,0.63,0.27,Bajo,0.39,0.08,0.23,0.31,0.77,0.02,0.48,0.41,0.97,0.18
Mecánico,38996,20,Maestría,0.2,1.05,0.52,Medio,0.08,0.46,0.46,0.32,0.28,0.22,0.01,0.0,0.59,0.29
Diseñador Gráfico,79210,8,Bachillerato,0.68,1.03,0.67,Medio,0.83,0.73,0.13,0.67,0.69,0.76,0.26,0.64,0.62,0.39
Enfermero/a,134439,13,Licenciatura,0.09,1.14,0.2,Bajo,0.21,0.82,0.87,0.21,0.08,0.6,0.48,0.43,0.76,0.97
Mecánico,41135,22,Licenciatura,0.01,1.1,0.56,Medio,0.83,0.2,0.52,0.45,0.66,0.06,0.88,0.51,0.88,0.34
Diseñador Gráfico,110709,6,Bachillerato,0.96,1.44,0.68,Medio,0.04,0.4,0.06,0.31,0.17,0.62,0.78,0.51,0.8,0.01
Investigador UX,78416,13,Licenciatura,0.18,0.96,0.48,Medio,0.87,0.97,0.26,0.07,0.65,0.5,0.57,0.05,0.78,0.23
Ingeniero de IA,57309,7,Licenciatura,0.23,1.45,0.09,Bajo,0.73,0.25,0.42,1.0,0.1,0.88,0.95,0.7,0.01,0.82
Ingeniero de IA,67542,17,Doctorado,0.98,1.34,0.16,Bajo,0.69,0.49,0.35,0.63,0.77,0.64,0.83,0.18,0.37,0.31
Abogado,50723,7,Licenciatura,0.44,1.45,0.52,Medio,0.29,0.35,0.61,0.35,0.54,0.27,0.35,0.71,0.58,0.09
Analista Financiero,62081,26,Doctorado,0.05,0.58,0.58,Medio,0.71,0.02,0.64,0.03,0.96,0.7,0.19,0.16,0.57,0.63
Abogado,129443,7,Doctorado,0.3,0.53,0.61,Medio,0.05,0.75,0.05,0.25,0.84,0.95,0.41,0.97,0.63,0.42
Científico de Datos,55482,13,Bachillerato,0.3,0.77,0.56,Medio,0.39,0.14,0.07,0.79,0.68,0.41,0.9,0.41,0.71,0.91
Diseñador Gráfico,103933,8,Doctorado,0.51,1.18,0.47,Medio,0.65,0.26,0.43,0.21,0.04,0.59,0.86,0.03,0.2,0.46
Investigador UX,43997,29,Doctorado,0.34,0.63,0.55,Medio,0.58,0.47,0.86,0.27,0.01,0.32,0.01,0.54,0.38,0.81
Abogado,66258,11,Doctorado,0.43,0.72,0.47,Medio,0.64,0.19,0.77,0.33,0.93,0.51,0.85,0.62,0.55,0.68
Chef,132495,23,Doctorado,0.92,1.2,0.55,Medio,0.53,0.18,0.12,0.49,0.16,0.58,0.65,0.53,0.04,0.06
Científico de Datos,135071,26,Bachillerato,0.86,0.91,0.49,Medio,0.85,0.09,0.39,0.4,0.5,0.11,0.1,0.42,0.03,0.25
Gerente de Marketing,50954,29,Licenciatura,0.49,0.51,0.57,Medio,0.86,0.71,0.82,0.64,0.51,0.22,0.28,0.32,0.04,0.91
Guardia de Seguridad,45590,11,Doctorado,0.11,1.06,0.82,Alto,0.68,0.6,0.12,0.66,0.61,0.53,0.4,0.95,0.85,0.59
Especialista en RRHH,118035,16,Licenciatura,0.78,0.69,0.58,Medio,0.86,0.96,0.47,0.97,0.41,0.22,0.51,0.65,0.46,0.57
Conductor de Camión,147488,2,Licenciatura,0.52,1.45,0.82,Alto,0.25,0.76,0.34,0.82,0.06,0.33,0.09,0.09,0.66,0.39
Especialista en RRHH,111506,23,Licenciatura,0.52,0.8,0.59,Medio,0.62,0.8,0.64,0.17,0.67,0.39,0.46,0.92,0.36,0.61
Gerente de Marketing,104644,7,Maestría,0.86,0.5,0.54,Medio,0.01,0.71,0.23,0.38,0.38,0.85,0.1,0.67,0.98,0.02
Trabajador de Comercio,85197,4,Maestría,0.02,1.34,0.94,Alto,0.99,0.46,0.87,0.12,0.43,0.31,0.4,0.7,0.09,1.0
Chef,145435,22,Doctorado,0.87,1.33,0.61,Medio,0.04,0.52,0.33,0.11,0.34,0.64,0.23,0.44,0.4,0.05
Investigador UX,31113,3,Bachillerato,0.62,1.47,0.42,Medio,0.42,0.4,0.92,0.41,0.44,0.25,0.0,0.11,0.7,0.68
Trabajador de Comercio,119374,27,Licenciatura,0.47,0.8,0.88,Alto,0.84,0.9,0.17,0.7,0.96,0.65,0.35,0.64,0.69,0.4
Trabajador de Comercio,105450,27,Doctorado,0.61,1.3,0.95,Alto,0.22,0.7,0.03,0.97,0.01,0.36,0.08,0.62,0.34,0.73
Científico Investigador,113453,18,Doctorado,0.42,0.85,0.07,Bajo,0.2,0.64,0.5,0.07,0.54,0.05,0.51,0.96,0.31,0.72
Mecánico,62656,1,Bachillerato,0.73,1.02,0.62,Medio,0.7,0.24,0.53,0.56,0.45,0.18,0.22,0.28,0.01,0.92
Trabajador de Comercio,50823,4,Doctorado,0.31,1.15,0.84,Alto,0.65,0.43,0.41,0.12,0.62,0.18,0.67,0.97,0.26,0.14
Guardia de Seguridad,52879,25,Doctorado,0.38,0.71,0.82,Alto,0.52,0.35,0.75,0.9,0.21,0.84,0.13,0.23,0.56,0.31
Maestro,132132,29,Doctorado,0.29,1.4,0.09,Bajo,0.76,0.72,0.11,0.33,0.19,0.02,0.17,0.2,0.17,0.09
Científico Investigador,32693,27,Licenciatura,0.14,1.25,0.13,Bajo,0.51,0.77,0.75,0.17,0.1,0.59,0.74,0.15,0.37,0.87
Médico,69812,26,Doctorado,0.67,0.51,0.27,Bajo,0.4,0.65,0.4,0.88,0.65,0.58,0.98,0.28,0.07,0.52
Enfermero/a,58353,24,Doctorado,0.45,1.12,0.2,Bajo,0.39,0.86,0.65,0.89,0.91,0.17,0.68,0.32,0.84,0.73
Obrero de Construcción,103969,16,Doctorado,0.94,1.18,0.94,Alto,0.2,0.87,0.67,0.55,0.82,0.63,0.67,0.25,0.82,0.65
Investigador UX,34110,14,Licenciatura,0.65,1.48,0.54,Medio,0.69,0.56,0.78,0.98,0.54,0.42,0.86,0.97,0.13,0.58
Trabajador de Comercio,73105,23,Doctorado,0.53,0.91,0.86,Alto,0.27,0.35,0.99,0.64,0.87,0.81,0.65,0.84,0.29,0.64
Guardia de Seguridad,147323,9,Maestría,0.62,0.67,0.77,Alto,0.29,0.6,0.97,0.95,0.23,0.3,0.04,0.4,0.83,0.92
Ingeniero de Software,97720,13,Maestría,0.27,0.72,0.44,Medio,0.8,0.65,0.79,0.58,0.26,0.23,0.01,0.78,0.85,0.77
Analista Financiero,30877,20,Bachillerato,0.05,0.61,0.48,Medio,0.48,0.82,0.68,0.15,0.23,0.29,0.12,0.29,0.73,0.24
Ingeniero de IA,38499,9,Maestría,0.47,0.82,0.15,Bajo,0.71,0.52,0.01,0.92,0.07,0.94,0.03,0.77,0.53,0.51
Ingeniero de Software,135634,0,Bachillerato,0.24,1.28,0.66,Medio,0.53,0.35,0.06,0.68,0.28,0.06,0.67,0.49,0.01,0.11
Maestro,88843,24,Doctorado,0.06,1.37,0.13,Bajo,0.09,0.76,0.52,0.31,0.41,0.02,0.66,0.37,0.71,0.63
Enfermero/a,68966,22,Licenciatura,0.79,1.13,0.15,Bajo,0.39,0.12,0.78,0.76,0.25,0.86,0.59,0.48,0.02,0.38
Diseñador Gráfico,95490,17,Bachillerato,0.09,0.96,0.7,Medio,0.72,0.55,0.53,0.04,0.96,0.93,0.68,0.1,0.21,0.18
Diseñador Gráfico,101786,2,Doctorado,0.21,1.2,0.52,Medio,0.02,0.74,0.19,0.82,0.36,0.34,0.01,0.99,0.61,0.42
Científico Investigador,41808,24,Licenciatura,0.7,0.78,0.3,Bajo,0.95,0.74,0.97,0.11,0.28,0.25,0.07,0.97,0.06,0.86
Ingeniero de Software,44903,18,Maestría,0.38,0.52,0.3,Bajo,0.2,0.49,0.46,0.59,0.77,0.38,0.16,0.8,0.33,0.29
Investigador UX,93615,16,Bachillerato,0.01,0.98,0.35,Medio,0.18,0.48,0.87,0.84,0.97,0.48,0.55,0.82,0.7,0.18
Ingeniero de IA,81141,10,Licenciatura,0.13,0.67,0.27,Bajo,0.53,0.71,0.37,0.53,0.98,0.33,0.67,0.17,0.12,0.78
Conductor de Camión,126705,27,Maestría,0.67,0.66,0.76,Alto,0.91,0.29,0.82,0.29,0.94,0.91,0.04,0.77,0.17,0.22
Soporte al Cliente,57254,8,Licenciatura,0.58,0.83,0.84,Alto,0.17,0.02,0.57,0.52,0.69,0.65,0.9,0.46,0.01,0.63
Mecánico,126923,28,Doctorado,0.64,1.08,0.39,Medio,0.36,0.91,0.47,0.59,0.94,0.47,0.39,0.89,0.91,0.35
Conductor de Camión,71689,28,Licenciatura,0.96,0.56,0.71,Alto,0.52,0.29,0.58,0.72,0.07,0.88,0.28,0.38,0.34,0.84
Ingeniero de IA,49546,5,Bachillerato,0.22,0.89,0.26,Bajo,0.15,0.43,0.93,0.5,0.73,0.83,0.2,0.22,0.76,0.75
Conductor de Camión,41398,22,Bachillerato,0.32,0.9,0.91,Alto,0.42,0.93,1.0,0.78,0.67,0.39,0.07,0.57,0.36,0.35
Gerente de Marketing,142301,27,Licenciatura,0.46,1.25,0.46,Medio,0.15,0.46,0.95,0.8,0.21,0.39,0.93,0.12,0.25,0.26
Investigador UX,73042,28,Maestría,0.41,0.58,0.55,Medio,0.1,0.61,0.51,0.49,0.07,0.64,0.43,0.41,0.6,0.61
Mecánico,110094,10,Doctorado,0.13,0.74,0.57,Medio,0.58,0.76,0.74,0.85,0.38,0.35,0.83,0.24,0.46,0.19
Investigador UX,126155,9,Bachillerato,0.41,0.71,0.58,Medio,0.24,0.94,0.37,0.66,0.35,0.81,0.9,0.79,0.85,0.1
Enfermero/a,128464,15,Maestría,0.62,1.37,0.22,Bajo,0.2,0.61,0.09,0.7,0.41,0.15,0.98,0.9,0.89,0.79
Abogado,139791,4,Doctorado,0.66,0.61,0.66,Medio,0.88,0.75,0.93,0.55,0.45,0.97,0.46,0.64,0.37,0.64
Guardia de Seguridad,56745,1,Doctorado,0.62,1.01,0.78,Alto,0.64,0.91,0.01,0.13,0.12,0.92,0.66,0.95,0.58,0.46
Investigador UX,94558,25,Bachillerato,0.16,0.88,0.49,Medio,0.3,0.37,0.08,0.2,0.34,0.8,0.18,0.35,0.06,0.56
Mecánico,91478,11,Maestría,0.87,1.32,0.41,Medio,0.14,0.16,0.97,0.67,0.04,0.14,0.49,0.21,0.8,0.57
Gerente de Marketing,125980,1,Bachillerato,0.46,0.76,0.54,Medio,0.72,0.37,0.5,0.84,0.15,0.55,0.35,0.7,0.02,0.67
Trabajador de Comercio,128708,15,Doctorado,0.06,1.22,0.86,Alto,0.89,0.52,0.53,0.71,0.32,0.04,0.23,0.24,0.34,0.94
Guardia de Seguridad,41638,26,Bachillerato,0.94,1.5,0.81,Alto,0.23,0.56,0.88,0.47,0.51,0.13,0.42,0.39,0.35,0.89
Científico Investigador,54829,26,Doctorado,0.97,0.51,0.29,Bajo,0.55,0.7,0.19,0.65,0.88,0.14,0.13,0.3,0.16,0.11
Diseñador Gráfico,50720,28,Maestría,0.21,1.17,0.64,Medio,0.65,0.12,0.57,0.39,0.34,0.32,0.93,0.74,0.13,0.48
Maestro,99981,2,Bachillerato,0.43,1.17,0.09,Bajo,0.45,0.01,0.48,0.9,0.6,0.44,0.16,0.2,0.08,0.74
Conductor de Camión,104541,22,Maestría,0.38,1.25,0.88,Alto,0.58,0.57,0.09,0.17,0.53,0.35,0.02,0.8,0.65,0.33
Enfermero/a,30733,7,Licenciatura,0.89,0.69,0.19,Bajo,0.96,0.64,0.44,0.72,0.82,0.59,0.87,0.51,0.83,0.95
Especialista en RRHH,127760,27,Bachillerato,0.61,1.11,0.61,Medio,0.82,0.03,0.73,0.78,0.7,0.71,0.04,0.44,0.82,0.93
Conductor de Camión,56819,1,Doctorado,0.58,1.3,0.89,Alto,0.62,0.02,0.72,0.77,0.72,0.77,0.43,0.99,0.77,0.58
Soporte al Cliente,105954,27,Maestría,0.91,1.31,0.84,Alto,0.53,0.33,0.25,0.51,0.58,0.24,0.92,0.56,0.53,0.44
Científico Investigador,145386,21,Maestría,0.88,0.82,0.21,Bajo,0.61,0.58,0.53,0.18,0.28,0.52,0.79,0.43,0.2,0.09
Enfermero/a,101360,9,Bachillerato,0.42,0.63,0.22,Bajo,0.21,0.51,0.31,0.93,0.23,0.42,0.96,0.32,0.64,0.32
Obrero de Construcción,108349,1,Bachillerato,0.63,1.42,0.81,Alto,0.63,0.61,0.42,0.61,0.26,0.38,0.44,0.86,0.35,0.64
Conductor de Camión,137102,19,Maestría,0.25,1.15,0.89,Alto,0.46,0.34,0.91,0.14,0.72,0.69,0.69,0.94,0.73,0.3
Soporte al Cliente,97310,29,Doctorado,0.39,0.53,0.93,Alto,0.07,0.7,0.73,0.84,0.55,0.73,0.3,0.75,0.34,0.9
Soporte al Cliente,121111,6,Licenciatura,0.32,1.0,0.89,Alto,0.75,0.21,0.14,0.3,0.48,0.54,0.43,0.66,0.43,0.95
Científico Investigador,85983,11,Licenciatura,0.63,1.11,0.12,Bajo,0.41,0.37,0.17,0.48,0.39,0.18,0.45,0.42,0.13,0.13
Diseñador Gráfico,98407,13,Maestría,0.71,1.44,0.33,Medio,0.12,0.05,0.53,0.62,0.4,0.8,0.69,0.99,0.14,0.06
Gerente de Marketing,130641,19,Maestría,0.93,1.46,0.32,Medio,0.89,0.47,0.77,0.08,0.96,0.61,0.9,0.67,0.54,0.17
Investigador UX,56363,3,Licenciatura,0.47,1.37,0.35,Medio,1.0,0.88,0.39,0.25,0.92,0.12,0.35,0.08,0.95,0.62
Chef,56187,17,Licenciatura,0.56,0.6,0.53,Medio,0.81,0.54,0.87,0.8,0.28,0.63,0.01,0.4,0.24,0.94
Científico de Datos,133171,29,Licenciatura,0.65,1.23,0.61,Medio,0.74,0.29,0.69,0.55,0.6,0.0,0.26,0.93,0.29,0.44
Maestro,143968,21,Doctorado,0.61,1.37,0.2,Bajo,0.56,0.8,0.56,0.84,0.05,0.5,0.81,0.85,0.83,0.6
Ingeniero de IA,89376,8,Doctorado,0.18,0.67,0.06,Bajo,0.99,0.35,0.76,0.06,0.3,0.62,0.52,0.21,0.46,0.11
Especialista en RRHH,70305,22,Doctorado,0.1,1.14,0.36,Medio,0.55,0.13,0.4,0.35,0.76,0.64,0.94,0.92,0.72,0.77
Analista Financiero,47054,5,Doctorado,0.69,1.12,0.42,Medio,0.35,0.57,0.72,0.41,0.14,0.46,0.96,0.21,0.65,0.98
Mecánico,103080,17,Bachillerato,0.71,1.49,0.34,Medio,0.55,0.68,0.7,0.79,0.92,0.36,0.04,0.36,0.67,0.21
Investigador UX,55401,21,Licenciatura,0.21,0.5,0.36,Medio,0.59,0.39,0.72,0.67,0.8,0.87,0.82,0.45,0.31,0.5
Ingeniero de Software,41928,7,Licenciatura,0.31,1.04,0.34,Medio,0.23,0.75,0.18,0.14,0.29,0.37,0.33,0.37,0.14,0.17
Médico,140177,24,Licenciatura,0.4,0.84,0.25,Bajo,0.53,0.58,0.56,0.4,0.98,0.04,0.22,0.28,0.88,0.92
